Company,Professional_Fees_Billed,Direct_Consultant_Salaries,Contribution_Margin,Corporate_Overheads,Net_Income,ROI_Metric
A B Infrabuild,183.81,3.39,180.42000000000002,156.42000000000002,11.42,31.33
A B B,11115.67,716.24,10399.43,8629.78,1456.45,30.69
Ansal Properties,597.51,20.59,576.92,583.87,-46.47,
Utique Enterp.,67.96,0.6,67.36,68.51,0.29,1.73
ATV Projects,61.53,4.26,57.27,49.81,6.46,2.59
Bajaj Electrical,4641.27,364.93,4276.34,4016.65,131.79,12.72
Bajaj Hindusthan,6104.32,406.46,5697.86,5448.83,-86.92,0.8
Bajaj Finance,54971.56,6409.06,48562.5,9689.64,14451.17,11.93
Balrampur Chini,5593.74,398.56,5195.179999999999,4408.999999999999,534.47,16.22
Century Textiles,4513.54,320.8,4192.74,3553.9399999999996,60.38,8.3
Bannari Amm.Sug.,2220.32,149.0,2071.32,1764.92,152.3,11.86
Bata India,3478.61,419.96,3058.65,2272.75,262.51,18.26
BEML Ltd,4054.32,822.23,3232.09,2789.86,281.77,15.18
Bharat Electron,20268.24,2489.49,17778.75,12732.34,3985.24,34.75
Binani Industrie,0.0,0.76,-0.76,6.67,-7.15,
Birla Cable,685.5,32.35,653.15,612.35,22.49,11.6
Disa India,328.55,44.7,283.85,233.74,42.88,25.97
Quest Capital,26.46,0.26,26.2,0.2799999999999976,20.15,3.14
BPL,66.43,8.38,58.050000000000004,43.67,13.46,7.09
Century Extrus.,375.1,17.76,357.34000000000003,334.61,7.45,17.11
CESC,15293.0,1213.0,14080.0,11954.0,1447.0,11.18
Chambal Fert.,17966.41,220.77,17745.64,15702.349999999999,1275.75,21.0
CRISIL,3162.31,1750.74,1411.57,554.6899999999999,650.41,41.36
CG Power & Ind,8045.98,508.14,7537.839999999999,6409.7699999999995,1427.61,47.04
Dabur India,12404.01,1239.56,11164.45,8764.730000000001,1811.31,22.28
Dalmia Bharat,2898.8,200.81,2697.9900000000002,2265.26,271.72,9.84
B H E L,23892.78,5628.84,18263.94,17651.34,282.22,2.97
H P C L,433856.51,3469.74,430386.77,405458.99,16014.61,21.3
M T N L,798.56,574.07,224.4899999999999,712.3,-3267.52,-8.26
M R P L,90406.68,772.06,89634.62,81938.87,3597.05,25.18
C P C L,66385.44,546.71,65838.73,61363.2,2711.25,34.64
St Bk of India,439188.51,83686.61,355501.9,156063.07000000004,69543.42,6.16
Titan Company,51084.0,1875.0,49209.0,43917.0,3496.0,22.7
IDBI Bank,26445.66,4438.24,22007.42,5338.359999999997,5814.1,6.55
Dhampur Sugar,2168.91,85.79,2083.12,1816.81,134.52,12.13
EID Parry,29413.11,932.08,28481.03,25893.41,1617.57,20.5
Electrost.Cast.,7478.01,477.33,7000.68,5822.26,740.15,15.95
Esab India,1243.32,108.98,1134.34,906.6599999999999,162.98,76.67
EPL Ltd,3916.1,772.5,3143.6,2429.3,210.1,15.1
Ester Industries,1063.45,63.68,999.7700000000001,1023.4000000000001,-121.05,-4.24
FGP,0.83,0.28,0.5499999999999999,0.42999999999999994,0.26,6.47
P. H. Capital,161.32,1.81,159.51,131.85,20.13,73.59
Finolex Cables,5014.39,177.31,4837.08,4256.4,571.6,19.0
John Cockerill,813.68,50.49,763.1899999999999,732.3599999999999,25.26,14.03
Uflex,13363.63,1194.26,12169.369999999999,10802.05,-691.16,6.27
Golden Tobacco,32.66,4.85,27.809999999999995,19.939999999999994,6.92,
Ganesh Benzopl.,226.72,22.04,204.68,115.26,60.63,18.22
GTL,201.92,74.83,127.08999999999999,66.64999999999999,210.8,
Godfrey Phillips,4419.59,336.41,4083.1800000000003,3191.05,883.97,22.62
Kansai Nerolac,7801.44,448.62,7352.82,6325.07,1175.86,16.56
Goodricke Group,823.98,369.53,454.45000000000005,499.55000000000007,-69.3,-14.9
Goodyear India,2551.71,182.8,2368.91,2198.3199999999997,94.85,21.98
GFL,3.2,0.63,2.5700000000000003,11.27,-7.57,-0.31
Guj. Lease Fin.,0.0,0.13,-0.13,0.26,0.09,1.55
HDFC Bank,283649.02,31023.0,252626.02000000002,146264.62000000002,65446.5,9.5
HFCL,4465.05,350.53,4114.52,3532.9800000000005,337.52,13.26
Hind.Construct.,7006.71,640.33,6366.38,5695.18,478.16,21.61
Hind.Oil Explor.,749.13,1.73,747.4,439.5,226.43,18.54
AGI Greenpac,2420.88,197.35,2223.53,1659.4100000000003,251.33,17.91
Hindustan Zinc,28934.0,826.0,28108.0,14447.0,7787.0,46.32
HMT,222.12,85.49,136.63,230.54,-123.9,
India Glycols,3293.97,103.37,3190.6,2788.24,172.99,10.73
India Lease Dev.,0.56,0.35,0.21000000000000008,0.44000000000000006,-0.15,-1.26
Margo Finance,0.81,0.15,0.66,0.21000000000000002,0.24,0.39
Ingersoll-Rand,1213.69,119.42,1094.27,803.9300000000001,222.39,51.34
Intl. Travel Hse,217.33,45.04,172.29000000000002,138.34000000000003,22.5,22.82
ION Exchange,2347.85,296.55,2051.2999999999997,1779.3499999999997,195.36,27.18
Agro Tech Foods.,759.67,64.46,695.2099999999999,661.02,10.41,2.66
Jain Irrigation,6147.3,618.49,5528.81,4745.05,42.8,5.81
Jasch Industries,171.58,11.31,160.27,145.18,16.19,13.99
Umang Dairies,286.19,26.0,260.19,250.85,1.34,7.17
Kakatiya Cement,155.95,19.84,136.10999999999999,142.73,-1.34,1.14
Whirlpool India,6829.79,725.35,6104.44,5701.45,224.3,9.29
Kirl. Brothers,4001.2,672.7,3328.5,2808.9,349.7,27.69
Kirloskar Indus.,6368.39,358.69,6009.700000000001,5069.31,360.72,10.68
Envair Electrody,0.4,0.05,0.35000000000000003,1.7000000000000002,-0.81,-13.06
Kotak Mah. Bank,56236.63,10347.31,45889.32,37495.979999999996,18213.21,8.75
KSB,2301.8,269.68,2032.1200000000001,1734.8200000000002,212.4,23.29
LIC Housing Fin.,27276.97,649.63,26627.34,2109.4799999999996,4763.32,
The Ramco Cement,9376.35,551.2,8825.15,7260.57,356.49,8.13
Hybrid Financial,5.09,1.7,3.3899999999999997,1.13,1.94,7.93
Mah. Scooters,222.51,8.6,213.91,10.710000000000008,199.31,0.88
Majestic Auto,83.42,6.24,77.18,23.31000000000001,33.1,11.61
Baroda Rayon,76.83,0.9,75.92999999999999,66.63999999999999,34.22,3.35
Max Financial,46576.22,35.05,46541.17,46121.61,392.58,9.77
MIRC Electronics,968.04,61.92,906.12,951.79,-62.21,-18.68
Lords Chloro,221.11,16.31,204.8,204.02,-4.8,-2.65
SpiceJet,7894.37,880.01,7014.36,7252.759999999999,-147.9,-36.58
MRF,25169.21,1796.78,23372.43,19118.87,2081.23,16.86
Heidelberg Cem.,2365.78,152.68,2213.1000000000004,1896.3800000000003,167.75,16.1
NCC,20844.96,667.23,20177.73,18408.85,740.41,22.14
Vedanta,143727.0,3300.0,140427.0,105115.0,7539.0,20.91
Naperol Invest.,1.91,1.42,0.49,1.1099999999999999,-0.37,-0.08
Piramal Enterp.,10110.47,1354.03,8756.439999999999,4996.999999999998,-1683.53,3.91
Jaykay Enter.,52.66,4.68,47.98,44.559999999999995,9.59,6.9
Nirlon,603.12,5.36,597.76,120.56,205.56,27.73
O N G C,643037.01,7313.36,635723.65,532888.2000000001,57100.84,18.44
Indian Sucrose,528.62,14.65,513.97,445.04,32.75,17.15
Panyam Cement,120.12,8.91,111.21000000000001,143.03,-55.02,-22.65
Reliance Industr,901064.0,25679.0,875385.0,713152.0,79020.0,10.02
Pil Italica Life,95.43,9.28,86.15,77.99000000000001,4.62,8.49
Pix Transmission,493.06,82.37,410.69,290.95,82.99,22.57
Birla Corpn.,9662.72,556.17,9106.55,7668.949999999999,420.56,8.99
Prime Securities,66.64,23.68,42.96,18.46,18.56,16.54
Prism Johnson,7587.51,619.9,6967.610000000001,6478.64,161.93,3.82
Rain Industries,16558.23,1328.95,15229.279999999999,14487.499999999998,-1054.51,1.9
AMJ Land Holdin.,56.46,5.32,51.14,37.19,11.54,9.38
Punjab Commun.,15.05,14.86,0.19000000000000128,9.160000000000002,10.15,-9.31
Rajshree Sugars,763.65,50.0,713.65,657.9399999999999,13.76,6.84
Shree Rama News.,47.04,1.44,45.6,39.050000000000004,-48.36,0.77
Rama Paper Mills,56.7,7.95,48.75,66.27,-19.48,-53.08
Rapicut Carbides,60.16,5.2,54.959999999999994,53.50999999999999,0.49,4.33
Rubfila Intl.,469.8,34.16,435.64,399.65999999999997,25.4,12.54
Patanjali Foods,31721.35,354.11,31367.239999999998,30088.699999999997,765.15,11.05
JK Lakshmi Cem.,6788.47,417.63,6370.84,5318.97,487.87,17.2
Shree Cement,20520.98,1064.43,19456.55,14939.81,2396.16,14.69
Sh. Krishna Pap.,144.35,9.34,135.01,127.85,0.38,6.9
Reliance Infra.,22066.86,1114.22,20952.64,18901.53,-1147.98,6.99
Tata Power Co.,61448.9,4254.82,57194.08,46458.8,4280.1,11.13
SPML Infra,1318.97,24.34,1294.63,1281.3700000000001,-1.61,3.5
