Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization,join_key,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months
A B Infrabuild,-1.0,ABINFRA,Construction,55.0,-13.21,8.67,76250,13333,4000,67.01,25.37,67.01,4.61,-0.72,-2.64,6.13,53.34,42.99,53.25,42.86,53.28,0.33,0.23,0.2,0.17,62.56,81.28,,43953,,,273.6,-1.0_ABINFRA,1.49,-55.94,11.55,2.01,4.07,0.72,43.41,-37.0,-29.71,50.0,1.49,4.07,13.45,-0.03,1.88,117.09,-7.23,0.26,3.55,0.0,43.56,-7.17,0.01,71.16,17.92,116.79,0.82,6.36,0.0,29.13,27.89,19.97,78.49,16.05,27.92,5.47,42.82,21.43,12.67,0.0,37.33,29.48,2.83,156.62,5.09,0.0,2.14,36.22,1.08,0.18,115.98,57.62,0.0,0.0,0.0,156.62,79.79,0.0,50.51,20.96,10.0,10.04,1.46,17.61,1.43,32.31,53.78,2.94,5.09,2.37,45.77,28.1,29.3,29.35,24.83,25.09,35.38,38.67,1.06,1.98,3.85,183.81,13.06,11.71,31.33,2.3,0.0,183.81,24.0,0.29,24.68,3.49,21.19,5.21,15.59,4.17,11.71,-0.39,11.42,0.0,79.02,3.39,13.06,6.37,24.0,5.21,3.49,2.3,21.19,11.42,4.14,4.17,0.29,202403.0,123.09,12.69,2.77,13.39,0.74,12.65,4.45,10.27,2.73,6.0,2.07,7.54,0.0,10.31,4.87,5.27,,
A B B,500002.0,ABB,Electric Equipment,8522.85,32.05,77.8,565245,418013,408696,9200.0,3847.5,9200.0,203.47,0.38,0.3,2.08,7817.65,6011.75,7790.17,5986.83,55.57,187.82,199.87,225.63,235.08,91.97,68.11,42.95,384577,31.02,23.92,180606.34,500002.0_ABB,16.24,237.85,84.24,1.9,137.81,6.18,40.96,35.62,11.71,5944.6,16.24,137.81,89.56,0.04,0.04,5607.25,13.84,0.11,1.71,40.6,1122.58,2.32,0.02,87.27,7.4,121.41,0.93,19.37,40.6,658.67,133.57,23.27,3753.81,214.88,133.57,29.11,392.78,48.98,42.38,0.0,5902.22,0.0,48.98,11001.19,1577.03,0.0,583.08,993.95,59.92,1.56,9547.49,5014.16,0.0,0.0,577.25,11001.19,4553.38,48.98,1560.76,2544.3,2.0,4816.17,477.36,3109.08,21.19,33.09,3067.17,899.17,1375.92,69.25,2162.95,-308.95,2076.4,1477.28,58.24,6.92,600.04,620.11,782.73,893.14,1254.91,11115.67,15.92,1462.61,30.69,68.73,0.0,10446.52,1501.06,288.59,1802.75,119.92,1682.83,16.97,1652.76,410.71,1247.24,-13.1,1242.05,504.32,60.58,716.24,14.37,11.94,1769.65,14.24,123.86,58.61,1962.37,1456.45,501.0,485.52,310.42,202312.0,8567.53,967.71,505.8,1147.18,104.7,1042.48,15.4,1353.41,337.18,764.16,326.33,1016.23,116.54,11.3,8.92,47.96,10446.52,1242.05
Aegis Logistics,500003.0,AEGISLOG,Trading,873.0,102.45,149.56,1370512,928276,1405319,914.0,280.0,914.0,2.66,0.02,8.37,23.48,698.11,505.39,690.98,501.7,70.62,48.36,46.7,48.3,48.28,171.92,35.09,34.2,1216293,24.43,42.05,30642.3,500003.0_AEGISLOG,4.35,-366.67,28.64,2.55,8.34,2.66,27.34,55.89,-1.93,3894.35,4.35,8.34,32.65,0.02,3.97,6763.02,-1.28,0.73,1.93,27.75,322.54,-3.51,0.05,93.49,4.52,211.68,0.95,6.51,27.75,201.2,46.73,15.82,428.76,54.89,46.73,8.45,156.05,2665.43,35.1,0.0,3859.25,1103.99,1561.44,7929.18,4758.14,0.0,618.87,4139.27,697.15,193.99,2655.66,1043.19,0.0,0.0,184.12,7929.18,1926.6,1002.2,63.58,513.38,1.0,1774.63,41.91,435.13,35.1,1923.89,1513.37,3661.16,4145.14,411.66,429.43,89.04,-46.1,72.79,734.21,238.75,286.46,240.96,1710.72,1328.75,748.31,7045.92,13.1,561.78,14.74,16.22,0.0,7045.92,922.75,189.59,1100.62,135.26,965.36,115.77,861.31,189.1,561.78,11.72,672.21,157.95,81.88,108.16,13.1,9.42,922.75,115.77,135.26,16.22,965.36,672.21,215.97,189.1,189.59,202403.0,8627.21,671.99,186.79,846.64,125.8,720.84,88.23,644.75,134.06,454.47,12.14,510.69,201.82,7.79,5.81,13.19,7363.22,594.24
Amara Raja Ener.,500008.0,ARE&M,Auto Ancillaries,1661.0,109.21,105.01,5674150,10878879,4215645,1775.95,599.0,1775.95,6.13,-0.13,20.51,40.78,1249.99,944.15,1233.12,936.92,74.2,119.01,111.42,93.17,86.71,144.15,30.6,21.38,1627361,10.22,12.84,30400.54,500008.0_ARE&M,2.71,74.56,17.74,2.14,37.51,2.5,17.27,-9.79,-2.95,6768.65,2.71,37.51,24.56,0.15,0.17,5816.49,6.64,0.04,1.18,20.0,764.39,-0.62,0.0,90.74,6.14,178.29,0.94,2.52,20.0,641.74,23.21,18.67,151.76,106.26,23.22,8.6,133.8,152.67,18.3,0.0,6750.35,0.0,106.81,8834.31,4909.1,0.0,2012.2,3552.35,319.59,1479.12,3549.02,1657.92,0.0,24.0,141.84,8834.31,1944.55,99.34,1809.54,1017.07,1.0,104.47,66.76,839.83,17.08,106.81,1832.57,2896.9,4909.1,233.66,1248.34,1301.3,871.22,517.4,92.32,58.43,72.46,85.69,2454.76,1812.76,1492.14,11260.3,14.4,905.86,20.19,49.49,4.8,11260.3,1621.38,101.54,1722.92,478.72,1244.2,33.17,1211.03,305.17,905.86,0.0,905.86,181.17,66.91,699.44,14.4,8.04,1621.38,33.17,478.72,49.49,1244.2,905.86,319.13,305.17,101.54,202403.0,10385.91,1370.59,26.29,1447.19,427.23,1019.96,22.08,947.57,253.16,731.28,-50.31,694.41,104.19,13.2,7.04,40.65,10895.44,800.56
Ambalal Sarabhai,500009.0,__NA__,Trading,47.17,-8.57,8.64,190566,306228,138015,70.0,26.05,70.0,1.57,-1.32,6.22,0.19,46.94,44.56,46.91,44.53,54.52,0.23,0.14,-0.22,-0.33,66.03,12.41,29.37,224249,27.2,24.86,361.5,500009.0___NA__,2.1,298.24,23.16,1.16,2.09,10.9,30.31,578.2,26.07,137.13,2.1,2.09,29.66,0.07,8.12,140.14,0.68,0.54,1.81,0.0,15.89,-11.46,0.08,48.81,32.14,82.34,0.68,11.44,0.0,17.27,77.09,17.33,170.45,6.86,77.13,4.21,40.36,46.11,76.63,0.0,60.5,26.64,19.47,250.23,107.61,0.0,20.04,87.57,0.0,29.77,118.55,102.32,0.0,0.0,28.5,250.23,52.57,1.02,16.18,26.26,10.0,32.9,4.45,36.7,7.66,45.19,42.0,85.17,102.11,3.65,14.61,-26.3,-15.86,-50.6,27.93,40.26,41.91,41.51,56.86,57.65,72.25,173.43,3.43,5.66,7.08,0.74,0.0,173.43,5.95,10.37,16.29,3.57,12.72,6.09,6.66,0.98,5.66,0.03,5.68,0.0,58.24,27.76,3.43,3.26,5.95,6.09,3.57,0.74,12.72,5.68,0.6,0.98,10.37,202403.0,170.15,8.45,12.19,20.87,2.76,18.11,2.71,15.17,3.72,11.62,-0.23,11.45,0.0,4.97,6.83,1.49,163.66,3.25
Andhra Petrochem,500012.0,__NA__,Chemicals,116.0,33.32,28.27,776279,286825,197411,126.9,58.0,197.4,7.27,1.05,-6.82,13.74,104.51,90.87,104.09,90.63,55.87,5.43,6.03,6.19,6.39,75.03,-1.33,16.45,251072,23.98,27.09,985.64,500012.0___NA__,1.25,10.77,6.87,8.93,10.93,-8.06,44.23,347.35,100.46,555.69,1.25,10.93,7.95,0.59,1.32,559.07,14.85,0.15,1.2,26.8,192.13,23.41,0.3,84.18,8.59,100.0,0.91,0.85,26.8,104.78,9.56,28.41,27.7,41.04,9.56,5.56,22.44,83.69,84.97,0.0,470.72,2.42,81.27,696.37,561.87,0.0,352.44,209.42,0.84,64.46,381.09,42.67,0.0,0.0,2.3,696.37,348.81,81.27,38.78,3.27,10.0,316.71,7.38,5.72,8.5,88.48,349.27,221.02,562.18,0.48,23.83,40.92,16.44,29.07,79.25,14.14,110.68,48.46,234.81,172.46,183.54,788.67,10.67,63.36,15.36,7.46,0.0,788.67,84.15,25.42,109.51,14.83,94.68,8.66,86.08,22.67,63.36,0.06,63.4,16.99,74.53,27.49,10.67,8.03,84.15,8.66,14.83,7.46,94.68,63.4,24.94,22.67,25.42,202403.0,682.98,34.62,18.68,53.3,15.39,37.91,8.64,29.27,8.87,20.41,0.0,20.41,12.75,5.07,2.99,2.4,672.66,25.49
Ansal Properties,500013.0,ANSALAPI,Construction,9.5,-8.5,-18.3,183514,123026,103341,15.05,8.0,569.5,3.35,3.83,-2.56,3.98,9.84,11.09,9.87,11.11,45.98,-0.27,-0.29,-0.31,-0.32,5.78,4.8,11.12,263851,-15.4,-13.53,149.52,500013.0_ANSALAPI,0.25,0.8,76.42,0.76,-1.31,,-178.32,-224.65,38.56,-656.49,0.25,-1.31,-23.39,1.75,-10.24,-358.01,-216.84,-1.94,-9.38,0.0,,-824.16,0.29,21.28,36.88,18.75,0.63,0.06,0.0,,1.78,-84.15,,-67.69,1.78,-0.24,-4.84,475.79,78.7,0.0,-735.19,539.55,1.85,5914.31,935.33,0.0,206.56,696.11,11.35,46.53,4769.3,6302.43,0.02,0.0,794.9,5914.31,-1065.47,0.12,3768.93,270.23,5.0,38.41,4359.74,1017.58,15.74,541.4,-991.92,728.77,935.33,10.99,-218.3,4.7,2117.86,1837.53,847.31,1426.04,1736.87,1292.33,561.54,680.44,784.38,597.51,-1.16,-43.92,,-2.79,0.0,597.51,-6.95,14.63,7.68,32.77,-25.09,19.14,-44.23,2.24,-43.92,0.0,-46.47,0.0,61.07,20.59,-1.16,-7.78,-6.95,19.14,32.77,-2.79,-25.09,-46.47,0.0,2.24,14.63,202403.0,594.92,-466.16,79.0,-375.8,29.44,-405.24,28.41,-445.01,-21.95,-411.7,-11.36,-423.06,0.0,-78.36,-69.2,-26.89,704.09,-323.62
Utique Enterp.,500014.0,__NA__,Finance & Investments,8.42,7.65,14.01,71121,54200,57127,11.85,4.5,26.15,0.75,1.45,-0.84,-1.43,8.63,7.85,8.64,7.85,41.16,-0.15,-0.15,-0.17,-0.18,63.06,34.38,43.17,95415,13.04,13.35,46.87,500014.0___NA__,0.69,77.31,21.41,40.19,17.29,6.81,74.68,100.0,-99.84,69.74,0.69,17.29,25.65,0.54,4.03,52.12,0.87,0.02,1.02,0.0,8.08,33.77,0.32,53.33,28.95,87.11,0.71,-2.01,0.0,3.83,-22.23,-1.66,111.53,9.11,-22.21,4.24,,1.17,55.67,0.0,14.07,0.0,0.5,72.02,1.14,0.0,0.35,1.37,0.0,15.16,51.84,1.29,0.0,14.08,0.0,72.02,50.75,1.17,16.74,0.0,10.0,17.0,0.0,0.02,5.57,0.5,49.71,0.79,1.14,0.0,27.96,21.93,23.77,21.86,0.0,0.0,0.0,0.0,4.43,4.95,5.25,67.96,-1.69,0.29,1.73,0.05,-23.71,67.96,-1.15,2.6,1.45,0.24,1.21,0.07,1.14,0.85,0.29,0.0,0.29,0.0,98.4,0.6,-1.69,0.43,-1.15,0.07,0.24,0.05,1.21,0.29,0.0,0.85,2.6,202403.0,62.09,-0.03,1.01,0.01,0.02,-0.01,0.0,0.96,0.33,0.24,0.97,0.62,0.0,-0.05,0.39,0.11,89.17,0.66
Aruna Hotels,500016.0,__NA__,Hotels,10.77,-12.11,-30.39,14007,16177,5855,23.38,9.52,24.58,2.42,-0.37,0.93,-1.01,11.39,14.22,11.41,14.25,48.03,-0.07,-0.07,-0.07,-0.07,-46.11,9.12,28.46,36648,,,36.53,500016.0___NA__,2.11,-3.48,10.77,0.15,0.74,,-72.17,67.72,60.47,26.57,2.11,0.74,14.22,-3.55,-25.49,164.0,-7.0,4.32,6.81,0.0,,-313.8,0.01,9.02,53.93,13.13,0.46,-0.6,0.0,,6.22,2.78,,-3.69,6.22,0.74,-71.63,114.72,33.9,3.04,-7.33,63.52,58.26,179.82,219.23,-104.12,24.39,176.5,0.0,0.0,2.2,14.7,0.0,0.0,0.0,179.82,-12.5,0.0,0.58,1.03,10.0,0.09,0.03,3.15,3.39,121.78,-8.81,178.35,219.23,0.0,-23.47,-4.38,-3.66,-17.3,111.33,81.78,10.39,23.04,98.52,101.98,111.47,17.32,10.1,-4.5,7.08,-1.33,0.0,17.32,1.75,12.28,14.03,3.4,10.63,14.37,-3.74,0.76,-4.5,0.0,-4.5,0.0,18.42,2.17,10.1,-25.98,1.75,14.37,3.4,-1.33,10.63,-4.5,0.0,0.76,12.28,202403.0,1.97,-20.56,24.1,3.54,2.82,0.72,12.39,-11.67,-2.75,-8.92,0.0,-8.92,0.0,-1043.65,-452.79,-2.63,12.69,-6.98
Bombay Dyeing,500020.0,BOMDYEING,Textiles - Manmade,210.7,26.47,37.97,5472824,9422369,12273551,214.5,105.95,321.9,22.0,-0.15,6.43,28.51,176.75,159.29,175.35,158.77,73.56,8.65,7.25,4.45,3.41,94.49,35.51,14.02,3720241,13.8,10.0,4351.68,500020.0_BOMDYEING,2.58,7.77,62.82,2.04,0.09,,33.11,-97.83,3.1,1846.23,2.58,0.09,127.63,0.63,0.0,1147.52,26.58,0.08,1.5,0.0,319.51,7.66,0.08,96.55,1.75,98.91,0.98,0.71,0.0,535.84,12.26,2.78,,27.08,12.26,4.69,65.56,2.75,41.31,0.0,1804.92,1969.77,1672.27,2558.39,651.02,0.0,208.8,574.56,13.86,746.12,1096.54,537.44,0.0,191.78,142.17,2558.39,559.1,0.0,244.88,52.07,2.0,478.2,55.04,358.79,20.65,3642.04,988.93,442.22,651.02,0.31,1568.17,2443.98,258.97,360.66,4172.19,3967.52,2541.6,1435.25,488.24,527.59,572.12,1688.48,-2.92,-295.97,1.44,142.76,0.0,1688.48,-49.22,4056.81,61.72,31.34,30.38,326.35,3649.9,701.48,-295.97,3945.87,2948.42,0.0,76.93,66.67,-2.92,-17.53,-49.22,326.35,31.34,142.76,30.38,2948.42,107.47,701.48,4056.81,202403.0,2673.73,-34.69,102.4,64.85,33.28,31.57,522.95,-488.52,28.08,-519.46,2.86,-516.6,0.0,-1.3,-19.43,-25.01,1978.0,2635.9
